correct_answer  answer_type     asset_type      asset_file      possible_answers        randomize_answers
Left cup        multiple choice video   ball_trick_1.mp4        Left cup,Middle cup,Right cup   false
Left cup        multiple choice video   ball_trick_2.mp4        Left cup,Middle cup,Right cup   false
Left cup        multiple choice video   ball_trick_3.mp4        Left cup,Middle cup,Right cup   false
Middle cup        multiple choice video   ball_trick_4.mp4        Left cup,Middle cup,Right cup   false
Left cup        multiple choice video   ball_trick_5.mp4        Left cup,Middle cup,Right cup   false
Right cup       multiple choice video   ball_trick_6.mp4        Left cup,Middle cup,Right cup   false
Middle cup      multiple choice video   ball_trick_7.mp4        Left cup,Middle cup,Right cup   false
Right cup       multiple choice video   ball_trick_8.mp4        Left cup,Middle cup,Right cup   false
Middle cup       multiple choice video   ball_trick_9.mp4        Left cup,Middle cup,Right cup   false
Left cup        multiple choice video   ball_trick_10.mp4        Left cup,Middle cup,Right cup   false
Left cup        multiple choice video   ball_trick_11.mp4       Left cup,Middle cup,Right cup   false
Middle cup      multiple choice video   ball_trick_12.mp4       Left cup,Middle cup,Right cup   false
Middle cup      multiple choice video   ball_trick_13.mp4       Left cup,Middle cup,Right cup   false
Left cup        multiple choice video   ball_trick_14.mp4       Left cup,Middle cup,Right cup   false
Middle cup      multiple choice video   ball_trick_15.mp4       Left cup,Middle cup,Right cup   false
Right cup       multiple choice video   ball_trick_16.mp4        Left cup,Middle cup,Right cup   false
Right cup       multiple choice video   ball_trick_17.mp4       Left cup,Middle cup,Right cup   false
Middle cup      multiple choice video   ball_trick_18.mp4       Left cup,Middle cup,Right cup   false
Right cup       multiple choice video   ball_trick_19.mp4       Left cup,Middle cup,Right cup   false
Left cup        multiple choice video   ball_trick_20.mp4       Left cup,Middle cup,Right cup   false
